Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1256291,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,4.7
CHEMBL1603781,CCCC[C@@H]1C[C@H]1C(NC(=O)c1cccs1)c1ccc(Cl)cc1,5.3
CHEMBL1475140,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@@H]3SC2)s1.[Na+],4.5
CHEMBL1447438,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(C[C@H](O)CO)c3C[C@H]2CN1C(=O)c1ccccc1,5.6
CHEMBL1200787,CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,4.5
CHEMBL1437095,COc1ccc(CNc2ccnc(-c3cccnc3)n2)c(OC)c1,6.2
CHEMBL1561579,C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](O)COCc1ccco1,5.5
CHEMBL1593443,O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3ccccc3)C2)CC1,5.2
CHEMBL1483285,Cc1cnc(CNc2ncncc2-c2cccc(NS(C)(=O)=O)c2)cn1,5.5
CHEMBL1435077,COc1cccc(-c2nccc(NCc3cccnc3)n2)c1,5.9
CHEMBL1495541,CC(C)=CCc1c2c(c(O)c3c(=O)c(O)c(-c4ccccc4)oc13)C=CC(C)(C)O2,4.8
CHEMBL1607202,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,4.8
CHEMBL1600347,COc1cc(C(C)(C)C)c(O)cc1C(C)(C)C,4.9
CHEMBL1332453,Cc1cc(N2CCOCC2)nc2ccc(Cc3ccc4nc(N5CCOCC5)cc(C)c4c3)cc12,5.5
CHEMBL1515691,CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,4.8
CHEMBL1417135,CN(C)c1ncc2nc(-c3ccccc3)c(=O)n(Cc3cccs3)c2n1,4.8
CHEMBL1554654,CCC1=C(C[C@H]2NCCc3cc(OC)c(OC)cc32)C[C@H]2c3ccccc3CCN2C1,5.5
CHEMBL1356010,C=CCC1C=CC(Oc2ccc(OC)cc2)C(CO)O1,5.4
CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,6
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,4.6
CHEMBL1554637,CN(C)C(=O)c1ccc(-c2nccc(NCc3cccs3)n2)cc1,4.6
CHEMBL1600342,O[Si@](CCCN1CCCCC1)(c1ccc(F)cc1)C1CCCCC1,5.4
CHEMBL1515614,O=C(c1csnn1)N1CCC2(CCCN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,4.8
CHEMBL1377727,COc1ccccc1CNc1cc(-c2cccnc2)ncn1,6.2
CHEMBL1410859,c1csc(CNc2ncnc3ccc(-c4ccoc4)cc23)c1,5.1
CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,5.4
CHEMBL1404947,CO[C@@H]1C[C@H](O[C@H]2[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)C[C@@H](N(C)C)[C@@H]3OC(C)=O)[C@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@H](OC(C)=O)[C@H](C)[C@H](C)OC(=O)[C@@H]2C)O[C@H](C)[C@@H]1OC(C)=O,5.5
